Words,Rank,Frequency
kids,671,72
bollywood,672,72
predictable,673,72
green,674,72
running,675,72
killing,676,72
cinema,677,71
figure,678,71
rural,679,71
allen,680,71
wedding,681,71
deep,682,71
eccentric,683,71
land,684,71
jason,685,71
later,686,71
members,687,70
ultimately,688,70
minor,689,70
chicago,690,70
widow,691,70
seen,692,70
lovely,693,70
typical,694,70
wit,695,70
identity,696,70
lonely,697,70
medium,698,70
club,699,70
worker,700,69
thief,701,69
africa,702,69
india,703,69
bond,704,69
song,705,69
dialogue,706,69
soldier,707,69
stylish,708,68
simple,709,68
happy,710,68
yarn,711,68
local,712,68
park,713,68
top,714,68
blood,715,68
russian,716,68
struggling,717,68
next,718,68
mexico,719,68
mess,720,68
william,721,68
farm,722,68
politics,723,67
images,724,67
given,725,67
runs,726,67
need,727,67
cultural,728,67
perfect,729,67
minutes,730,67
everything,731,67
cinematic,732,67
corporate,733,67
eyed,734,67
chris,735,67
budget,736,67
san,737,66
memorable,738,66
friendship,739,66
dying,740,66
ambitious,741,66
events,742,66
george,743,66
sound,744,66
grim,745,66
nazis,746,66
recent,747,66
highly,748,66
historical,749,66
return,750,66
tragedy,751,66
beyond,752,66
lead,753,66
north,754,66
korean,755,66
famous,756,65
dull,757,65
missing,758,65
cold,759,65
extremely,760,65
toward,761,65
suicide,762,65
includes,763,65
handled,764,65
moment,765,65
control,766,65
drawn,767,65
intriguing,768,65
martin,769,65
wrote,770,65
keeps,771,65
horse,772,64
clear,773,64
leave,774,64
hope,775,64
ends,776,64
private,777,64
animation,778,64
ghost,779,64
premise,780,64
mood,781,64
martial,782,64
kill,783,64
younger,784,64
deal,785,64
co,786,64
arts,787,63
hour,788,63
taking,789,63
moral,790,63
involved,791,63
magic,792,63
seeks,793,63
solid,794,63
jones,795,63
intrigue,796,63
hospital,797,63
watching,798,62
smooth,799,62
desert,800,62
near,801,62
joe,802,62
fresh,803,62
alex,804,62
used,805,62
protagonist,806,62
berlin,807,62
stolen,808,62
eventually,809,61
aged,810,61
blind,811,61
course,812,61
rescue,813,61
exercise,814,61
franchise,815,61
boyfriend,816,61
hip,817,61
gold,818,61
smith,819,61
surprising,820,61
obsessed,821,61
fire,822,61
vivid,823,61
crisis,824,61
thomas,825,61
faces,826,61
sad,827,61
change,828,61
steve,829,61
vision,830,60
society,831,60
scenic,832,60
g,833,60
soviet,834,60
kevin,835,60
daniel,836,60
everyone,837,60
problems,838,60
ice,839,60
think,840,60
complicated,841,60
planet,842,60
kong,843,60
six,844,59
leader,845,59
bob,846,59
lacks,847,59
genial,848,59
americans,849,59
sequences,850,59
large,851,59
independent,852,59
attention,853,59
room,854,59
reality,855,59
theater,856,59
aging,857,59
care,858,59
follow,859,59
adam,860,59
portrays,861,59
christmas,862,59
perhaps,863,59
k,864,59
workers,865,59
interviews,866,59
stunning,867,59
steady,868,59
convict,869,59
tracks,870,59
break,871,59
told,872,59
killed,873,58
sleuth,874,58
dated,875,58
adult,876,58
washington,877,58
israeli,878,58
billy,879,58
harry,880,58
touch,881,58
delightful,882,58
cynical,883,58
gone,884,58
adolescent,885,58
stone,886,58
evocative,887,58
depicts,888,58
directorial,889,57
escape,890,57
owner,891,57
nature,892,57
mike,893,57
energy,894,57
queen,895,57
jennifer,896,57
sounds,897,57
loose,898,57
la,899,57
cool,900,57
interest,901,57
soldiers,902,57
parody,903,57
finally,904,57
frank,905,57
espionage,906,57
experience,907,57
okay,908,57
cat,909,57
want,910,56
scary,911,56
government,912,56
double,913,56
football,914,56
christian,915,56
master,916,56
view,917,56
routine,918,56
involving,919,56
concert,920,56
mad,921,56
present,922,56
criminal,923,56
streets,924,56
scientist,925,56
punk,926,55
warm,927,55
immigrant,928,55
grown,929,55
taste,930,55
francisco,931,55
sensitive,932,55
forces,933,55
radio,934,55
wrong,935,55
public,936,55
hong,937,55
tell,938,55
sea,939,55
likable,940,55
foreign,941,55
aspiring,942,55
hitchcock,943,55
factory,944,55
european,945,55
stay,946,54
slick,947,54
actually,948,54
learns,949,54
food,950,54
major,951,54
opening,952,54
surreal,953,54
relationships,954,54
poet,955,54
entirely,956,54
leading,957,54
janet,958,54
god,959,54
photographer,960,54
atmosphere,961,54
gentle,962,54
cute,963,54
nick,964,54
someone,965,54
japan,966,54
awful,967,54
vampire,968,54
tensions,969,54
williams,970,54
needs,971,53
direction,972,53
talking,973,53
remote,974,53
trial,975,53
stand,976,53
number,977,53
antique,978,53
minded,979,53
earlier,980,53
monster,981,53
plane,982,53
quiet,983,53
provocative,984,53
national,985,53
producer,986,53
henry,987,53
crash,988,53
trapped,989,53
whole,990,53
haunted,991,53
jungle,992,53
italy,993,53
formula,994,53
revolution,995,53
super,996,53
move,997,52
europe,998,52
died,999,52
somewhat,1000,52
spirited,1001,52
thoughtful,1002,52
impressive,1003,52
questions,1004,52
surprise,1005,52
laughs,1006,52
tony,1007,52
journalist,1008,52
ford,1009,52
rate,1010,52
sentimentality,1011,52
tribute,1012,52
kate,1013,52
hands,1014,52
president,1015,52
sam,1016,52
pals,1017,52
else,1018,52
date,1019,52
deeply,1020,51
studio,1021,51
generally,1022,51
determined,1023,51
excellent,1024,51
veteran,1025,51
question,1026,51
moore,1027,51
abandoned,1028,51
mob,1029,51
e,1030,51
create,1031,51
crew,1032,51
says,1033,51
domestic,1034,51
fans,1035,51
bleak,1036,50
hold,1037,50
matt,1038,50
jonathan,1039,50
theme,1040,50
record,1041,50
complex,1042,50
ideas,1043,50
mental,1044,50
pictures,1045,50
discovers,1046,50
stop,1047,50
surprises,1048,50
hunter,1049,50
none,1050,50
spanish,1051,50
accident,1052,50
caught,1053,50
prostitute,1054,50
mix,1055,50
treatment,1056,50
science,1057,50
fact,1058,50
audiences,1059,49
plenty,1060,49
legend,1061,49
cult,1062,49
eddie,1063,49
call,1064,49
bring,1065,49
successful,1066,49
affecting,1067,49
dr,1068,49
truth,1069,49
torn,1070,49
moody,1071,49
loss,1072,49
heroine,1073,49
using,1074,49
nuclear,1075,49
faith,1076,49
feeling,1077,48
offbeat,1078,48
largely,1079,48
office,1080,48
chance,1081,48
desperate,1082,48
digital,1083,48
apartment,1084,48
focus,1085,48
credible,1086,48
dealer,1087,48
joke,1088,48
lean,1089,48
struggles,1090,48
striking,1091,48
words,1092,48
international,1093,48
suds,1094,48
breezy,1095,48
engaging,1096,48
filled,1097,48
main,1098,48
clan,1099,48
watch,1100,48
harmless,1101,48
hybrid,1102,48
talent,1103,48
animal,1104,48
created,1105,48
brought,1106,48
level,1107,48
hop,1108,48
held,1109,48
length,1110,48
winner,1111,47
musician,1112,47
mean,1113,47
alien,1114,47
boxer,1115,47
sleek,1116,47
edward,1117,47
oil,1118,47
drive,1119,47
mildly,1120,47
depression,1121,47
intelligence,1122,47
bland,1123,47
win,1124,47
possible,1125,47
suburban,1126,47
alcoholic,1127,47
sent,1128,47
issues,1129,47
suffering,1130,47
dancer,1131,47
emotionally,1132,47
tim,1133,47
wwii,1134,47
installment,1135,47
fashion,1136,47
folk,1137,47
vegas,1138,47
fugitive,1139,47
professor,1140,46
h,1141,46
accused,1142,46
battles,1143,46
passion,1144,46
soon,1145,46
parts,1146,46
ugly,1147,46
sly,1148,46
exploration,1149,46
neighborhood,1150,46
dazzling,1151,46
miss,1152,46
buddy,1153,46
novelist,1154,46
believe,1155,46
hours,1156,46
directors,1157,46
tradition,1158,46
impact,1159,46
elegant,1160,46
decides,1161,46
lady,1162,46
mom,1163,46
soap,1164,46
edge,1165,46
woody,1166,45
